m_row$$,awg_id,aufwandbedingung,sortier_nr,m_aufwand,m_aufwand_einheit,w_aufwand_von,w_aufwand_bis,w_aufwand_einheit
AAAxbuAAEAAADBKAA1,034560-84/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA2,034560-85/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA3,034560-86/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA4,034560-87/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA5,034560-88/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA6,034560-89/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA7,034560-60/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA8,034560-61/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA9,034560-62/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA+,034560-63/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA/,034560-66/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABA,034560-69/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABB,034560-72/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABC,034560-73/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABD,034560-74/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABE,034560-75/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABF,034560-76/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABG,034560-77/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABH,034560-78/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABI,034560-79/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABJ,034560-80/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABK,034560-81/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABL,034560-83/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABM,034560-84/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABN,034560-85/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABO,034560-86/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABP,034560-87/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABQ,034560-88/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABR,034560-89/01-014, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABS,034560-60/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABT,034560-61/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABU,034560-62/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABV,034560-63/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABW,034560-66/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABX,034560-69/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABY,034560-72/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABZ,034560-73/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABa,034560-74/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABb,034560-75/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABc,034560-76/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABd,034560-77/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABe,034560-78/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABf,034560-79/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABg,034560-80/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABh,034560-81/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABi,034560-83/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABj,034560-84/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABk,034560-85/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABl,034560-86/02-001, ,1,1.0,LH,200.0,600.0,LH
