m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAAm8AAC,034028-63,BAY-12760-FW-2-EW,2013-10-13T22:00:00Z,Hutton,EW,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm8AAD,030526-61,CHD-19620-AI-0-EW;CHD-19620-AI-1-EW,2014-04-02T22:00:00Z,Austriebs-Spritzmittel Para Sommer,EW,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAm8AAE,007519-60,HEL-30004-FW-0-EW,2014-04-02T22:00:00Z,TESON,EW,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm8AAF,024138-60,10061-00850-A-1-SC;10061-00850-A-2-SC,2014-04-02T22:00:00Z,Milben-Ex Kiron,SC,2027-06-14T22:00:00Z,
AAAxdIAAEAAAAm8AAG,006858-61,11490-14382-H-0-WG,2013-10-06T22:00:00Z,CONNEX,WG,2026-06-29T22:00:00Z,
AAAxdIAAEAAAAm8AAH,007508-60,COM-50809-H-0-AL,2013-07-29T22:00:00Z,COMPO Bio Unkrautvernichter Herbistop AF,AL,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAm8AAI,007507-60,10035-50816-H-0-EW,2013-07-29T22:00:00Z,COMPO Bio Unkrautvernichter Herbistop,EW,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAm8AAJ,007507-61,10035-50816-H-0-EW,2013-07-29T22:00:00Z,COMPO Bio Rasen Moos-frei Herbistop,EW,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAm8AAK,005747-65,10130-71376-H-0-SL;10130-71376-H-1-SL,2013-09-16T22:00:00Z,ETISSO Rasen Unkraut-frei perfekt,SL,2026-05-14T22:00:00Z,
AAAxdIAAEAAAAm8AAL,006193-62,NEU-01171-H-0-SL,2014-01-14T23:00:00Z,Finalsan Konzentrat SchachtelhalmFrei,SL,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAm8AAM,007525-60,MOT-79991-H-0-SG,2014-03-24T23:00:00Z,Roundup REKORD,SG,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAm8AAN,034837-60,10255-00160-H-0-WG,2022-01-03T23:00:00Z,Katana,WG,2033-07-30T22:00:00Z,
AAAxdIAAEAAAAm8AAO,043099-65,BAY-16590-F-3-WG,2018-01-29T23:00:00Z,Alitis Spezial-Pilzfrei,WG,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAm8AAP,034092-61,ISK-80880-F-0-SC,2013-08-05T22:00:00Z,Frowncide,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAm8AAQ,034092-62,ISK-80880-F-0-SC,2013-08-05T22:00:00Z,Winby,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAm8AAR,005747-63,10130-71376-H-0-SL;10130-71376-H-1-SL,2013-08-05T22:00:00Z,Dicotex Rasen Unkraut-Frei,SL,2026-05-14T22:00:00Z,
AAAxdIAAEAAAAm8AAS,005747-64,10130-71376-H-0-SL;10130-71376-H-1-SL,2013-08-05T22:00:00Z,gartenkraft Rasen Unkraut-Frei Dicotex,SL,2026-05-14T22:00:00Z,
AAAxdIAAEAAAAm9AAA,024675-60,SYD-90470-I-1-CS,2014-07-15T22:00:00Z,KUSTI,CS,2026-03-30T22:00:00Z,
AAAxdIAAEAAAAm9AAB,007213-60,11281-12345-I-1-CS,2015-02-05T23:00:00Z,JAGUAR,CS,2026-07-30T22:00:00Z,
AAAxdIAAEAAAAm9AAC,005747-66,10130-71376-H-0-SL;10130-71376-H-1-SL,2014-10-06T22:00:00Z,COMPO Rasenunkraut-Vernichter Perfekt,SL,2026-05-14T22:00:00Z,
AAAxdIAAEAAAAm9AAD,006968-60,SCF-30127-W-0-SL,2013-07-31T22:00:00Z,CYLEX PLUS,SL,2027-07-14T22:00:00Z,
AAAxdIAAEAAAAm9AAE,006899-60,ADD-92800-F-0-SC,2014-09-23T22:00:00Z,Carneol,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAm9AAF,033366-61,CFW-11980-R-2-RB,2014-11-05T23:00:00Z,Detia Wühlmausköder Neu,RB,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAm9AAG,033366-62,CFW-11980-R-2-RB,2014-11-05T23:00:00Z,Wühlmaus-Köder,RB,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAm9AAH,007138-60,ADD-93620-H-0-EC,2014-11-23T23:00:00Z,PROFI Fluroxy 200,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAm9AAI,024436-64,10061-00001-I-0-EC,2014-07-29T22:00:00Z,Naturen Bio Schädlingsfrei Neem,EC,2028-01-30T23:00:00Z,
