m_row$$,awg_id,schadorg,ausgenommen,sortier_nr
AAAxcCAAEAAADXcABn,008038-60/00-001,YTRLO,N,1.0
AAAxcCAAEAAADXcABo,008038-60/00-002,YFRFD,N,1.0
AAAxcCAAEAAADXcABp,008038-60/00-003,YERFR,N,1.0
AAAxcCAAEAAADXcABq,008038-60/00-004,YFVWA,N,2.0
AAAxcCAAEAAADXcABr,008038-60/00-004,WLFXX,N,1.0
AAAxcCAAEAAADXcABs,006929-60/00-001,YFRBR,N,1.0
AAAxcCAAEAAADXcABt,006929-60/00-001,LAGERQ,N,2.0
AAAxcCAAEAAADXcABu,006929-60/00-002,YFRFD,N,1.0
AAAxcCAAEAAADXcABv,005603-60/00-001,TETRSP,N,1.0
AAAxcCAAEAAADXcABw,005603-61/00-001,TETRSP,N,1.0
AAAxcCAAEAAADXcABx,005603-60/00-002,TETRSP,N,1.0
AAAxcCAAEAAADXcABy,005603-61/00-002,TETRSP,N,1.0
AAAxcCAAEAAADXcABz,005603-60/00-003,AGMYSP,N,1.0
AAAxcCAAEAAADXcAB0,005603-61/00-003,AGMYSP,N,1.0
AAAxcCAAEAAADXcAB1,005603-60/01-001,TETRSP,N,1.0
AAAxcCAAEAAADXcAB2,005603-61/01-001,TETRSP,N,1.0
AAAxcCAAEAAADXcAB3,005603-60/01-003,TETRSP,N,1.0
AAAxcCAAEAAADXcAB4,005603-61/01-003,TETRSP,N,1.0
AAAxcCAAEAAADXcAB5,005603-60/02-001,TETRSP,N,
AAAxcCAAEAAADXcAB6,005603-61/02-001,TETRSP,N,
AAAxcCAAEAAADXcAB7,00A398-60/00-001,SEPTTR,N,1.0
AAAxcCAAEAAADXcAB8,00A398-61/00-001,SEPTTR,N,1.0
AAAxcCAAEAAADXcAB9,00A398-62/00-001,SEPTTR,N,1.0
AAAxcCAAEAAADXcAB+,00A398-60/00-002,ERYSGR,N,1.0
AAAxcCAAEAAADXcAB/,00A398-61/00-002,ERYSGR,N,1.0
AAAxcCAAEAAADXcACA,00A398-62/00-002,ERYSGR,N,1.0
AAAxcCAAEAAADXcACB,00A398-60/00-003,ERYSGR,N,1.0
AAAxcCAAEAAADXcACC,00A398-61/00-003,ERYSGR,N,1.0
AAAxcCAAEAAADXcACD,00A398-62/00-003,ERYSGR,N,1.0
AAAxcCAAEAAADXcACE,00A398-60/00-004,SEPTTR,N,1.0
AAAxcCAAEAAADXcACF,00A398-61/00-004,SEPTTR,N,1.0
AAAxcCAAEAAADTrAA/,00A106-00/00-002,TTTMM,N,1.0
AAAxcCAAEAAADTrABA,00A106-00/00-002,TTTDS,N,2.0
AAAxcCAAEAAADTrABB,00A107-00/00-001,TTTDD,N,1.0
AAAxcCAAEAAADTrABC,00A107-00/00-002,TTTDD,N,1.0
AAAxcCAAEAAADTrABD,00A351-00/00-001,TTTDD,N,1.0
AAAxcCAAEAAADTrABE,00A351-00/00-001,TTTMM,N,2.0
AAAxcCAAEAAADTrABF,00A351-00/00-002,TTTDD,N,1.0
AAAxcCAAEAAADTrABG,00A351-00/00-002,TTTMM,N,2.0
AAAxcCAAEAAAASsABt,024436-00/01-005,CHEIBR,N,1.0
AAAxcCAAEAAAASsABu,024436-00/01-006,CHEIBR,N,1.0
AAAxcCAAEAAAASsABv,024436-00/02-001,ISXXXX,N,1.0
AAAxcCAAEAAAASsABw,024436-00/02-001,IBXXXX,N,2.0
AAAxcCAAEAAAASsABx,024436-00/03-001,ISXXXX,N,1.0
AAAxcCAAEAAAASsABy,024436-00/03-001,IBXXXX,N,2.0
AAAxcCAAEAAAASsABz,024436-00/03-002,ISXXXX,N,1.0
AAAxcCAAEAAAASsAB0,024436-00/03-002,IBXXXX,N,2.0
AAAxcCAAEAAAASsAB1,024436-00/05-001,ISXXXX,N,1.0
AAAxcCAAEAAAASsAB2,024436-00/05-001,IBXXXX,N,2.0
AAAxcCAAEAAAASsAB3,024436-00/05-002,ISXXXX,N,1.0
AAAxcCAAEAAAASsAB4,024436-00/05-002,IBXXXX,N,2.0
AAAxcCAAEAAAASsAB5,024436-00/07-001,SCIASP,N,1.0
AAAxcCAAEAAAASsAB6,024436-00/08-001,THYSSP,N,1.0
AAAxcCAAEAAAASsAB7,024436-00/08-001,AGMYSP,N,2.0
AAAxcCAAEAAAASsAB8,024436-00/08-001,ALEUSP,N,3.0
AAAxcCAAEAAAASsAB9,024436-00/08-001,APXXSP,N,4.0
AAAxcCAAEAAAASsAB+,024436-00/08-001,LEPISF,N,5.0
AAAxcCAAEAAAASsAB/,024436-00/08-002,TETRSP,N,4.0
AAAxcCAAEAAAASsACA,024436-00/09-001,APXXSP,N,1.0
AAAxcCAAEAAAASsACB,024436-00/09-002,APXXSP,N,1.0
AAAxcCAAEAAAASsACC,024436-00/09-003,LEPISF,N,2.0
AAAxcCAAEAAAASsACD,024436-00/09-004,LEPISF,N,2.0
AAAxcCAAEAAAASsACE,024436-00/10-001,APXXSP,N,1.0
AAAxcCAAEAAAASsACF,024436-00/10-002,APXXSP,N,1.0
AAAxcCAAEAAAASsACG,024436-00/10-003,APXXSP,N,1.0
AAAxcCAAEAAAASsACH,024436-00/10-004,APXXSP,N,1.0
AAAxcCAAEAAAASsACI,024436-00/11-001,IBXXXX,N,1.0
AAAxcCAAEAAAASsACJ,024436-00/11-001,ISXXXX,N,2.0
AAAxcCAAEAAAASsACK,042409-00/00-001,CAPRCA,N,
AAAxcCAAEAAAASsACL,042409-00/00-001,CERVSP,N,
AAAxcCAAEAAAASsACM,008500-00/00-001,SCIASP,N,1.0
AAAxcCAAEAAAASsACN,008500-00/00-002,SCIASP,N,1.0
AAAxcCAAEAAAASsACO,008500-00/00-003,SCIASP,N,1.0
AAAxcCAAEAAAASsACP,008500-00/01-001,SCIASP,N,1.0
AAAxcCAAEAAAASsACQ,00B384-00/00-005,VENTIN,N,1.0
AAAxcCAAEAAAASsACR,00B384-00/00-005,VENTPI,N,2.0
AAAxcCAAEAAAASsACS,024675-00/00-001,IBXXXX,N,1.0
AAAxcCAAEAAAASsACT,024675-00/00-002,ISXXXX,N,1.0
AAAxcCAAEAAAASsACU,024675-00/00-003,DIPTSP,N,1.0
AAAxcCAAEAAAASsACV,024675-00/00-004,OSCIFR,N,1.0
AAAxcCAAEAAAASsACW,024675-00/00-005,APXXSP_3,N,1.0
AAAxcCAAEAAAASsACX,024675-00/00-006,APXXSP_3,N,1.0
AAAxcCAAEAAAASsACY,024675-00/00-008,OSCIFR,N,1.0
AAAxcCAAEAAAASsACZ,024675-00/00-009,IBXXXX,N,1.0
AAAxcCAAEAAAASsACa,024675-00/00-010,ISXXXX,N,1.0
AAAxcCAAEAAAASsACb,024675-00/00-011,APXXSP_3,N,1.0
AAAxcCAAEAAAASsACc,024675-00/00-012,IBXXXX,N,1.0
AAAxcCAAEAAAASsACd,024675-00/00-013,DASYBR,N,
AAAxcCAAEAAAASsACe,024675-00/00-014,OSCIFR,N,1.0
AAAxcCAAEAAAASsACf,024675-00/00-015,PEGOHY,N,1.0
AAAxcCAAEAAAASsACg,024675-00/00-016,IBXXXX,N,1.0
AAAxcCAAEAAAASsACh,024675-00/00-017,ISXXXX,N,1.0
AAAxcCAAEAAAASsACi,024675-00/00-018,PEGOHY,N,
AAAxcCAAEAAAASsACj,024675-00/00-019,IBXXXX,N,1.0
AAAxcCAAEAAAASsACk,024675-00/00-020,ISXXXX,N,1.0
AAAxcCAAEAAAASsACl,024675-00/00-021,IBXXXX,N,
AAAxcCAAEAAAASsACm,024675-00/00-022,ISXXXX,N,1.0
AAAxcCAAEAAAASsACn,024675-00/00-023,IBXXXX,N,
AAAxcCAAEAAAASsACo,024675-00/00-024,ISXXXX,N,1.0
AAAxcCAAEAAAASsACp,024675-00/00-026,IBXXXX,N,
AAAxcCAAEAAAASsACq,024675-00/00-027,ISXXXX,N,1.0
AAAxcCAAEAAAASsACr,024675-00/00-028,DIPTSP,N,1.0
AAAxcCAAEAAAAStAAA,024675-00/00-029,IBXXXX,N,
AAAxcCAAEAAAAStAAB,024675-00/00-030,ISXXXX,N,1.0
AAAxcCAAEAAAAStAAC,024675-00/00-031,IBXXXX,N,
AAAxcCAAEAAAAStAAD,024675-00/00-032,ISXXXX,N,1.0
AAAxcCAAEAAAAStAAE,024675-00/00-033,DIPTSP,N,1.0
AAAxcCAAEAAAAStAAF,024675-00/00-034,IBXXXX,N,
AAAxcCAAEAAAAStAAG,024675-00/00-035,ISXXXX,N,1.0
AAAxcCAAEAAAAStAAH,024675-00/00-036,IBXXXX,N,1.0
AAAxcCAAEAAAAStAAI,024675-00/00-037,ISXXXX,N,1.0
AAAxcCAAEAAAAStAAJ,024675-00/00-038,IBXXXX,N,
AAAxcCAAEAAAAStAAK,024675-00/00-039,ISXXXX,N,1.0
AAAxcCAAEAAAAStAAL,024675-00/00-042,IBXXXX,N,
AAAxcCAAEAAAAStAAM,024675-00/00-043,ISXXXX,N,1.0
AAAxcCAAEAAAAStAAN,024675-00/00-044,DIPTSP,N,1.0
AAAxcCAAEAAAAStAAO,024675-00/00-045,IBXXXX,N,1.0
AAAxcCAAEAAAAStAAP,024675-00/00-046,ISXXXX,N,1.0
AAAxcCAAEAAAAStAAQ,024675-00/00-047,IBXXXX,N,
