m_row$$,awg_id,kultur,ausgenommen,sortier_nr
AAAxb2AAEAAAARTAA7,00A117-00/00-032,BEAVF,N,7.0
AAAxb2AAEAAAARTAA8,00A117-00/00-032,LACSS,N,1.0
AAAxb2AAEAAAARTAA9,00A117-00/00-032,CICEN,N,2.0
AAAxb2AAEAAAARTAA+,00A117-00/00-032,CICIF,N,3.0
AAAxb2AAEAAAARTAA/,00A117-00/00-032,VLLLO,N,2.0
AAAxb2AAEAAAARTABA,00A117-00/00-032,NNNRA,N,3.0
AAAxb2AAEAAAARTABB,00A117-00/00-032,CLAPE,N,6.0
AAAxb2AAEAAAARTABC,00A117-00/00-032,POROL,N,7.0
AAAxb2AAEAAAARTABD,00A117-00/00-032,POROS,N,8.0
AAAxb2AAEAAAARTABE,00A117-00/00-033,CICEN,N,2.0
AAAxb2AAEAAAARTABF,00A117-00/00-033,SPQOL,N,3.0
AAAxb2AAEAAAARTABG,00A117-00/00-033,BEAVV,N,4.0
AAAxb2AAEAAAARTABH,00A117-00/00-033,NNNKB,N,5.0
AAAxb2AAEAAAARTABI,00A117-00/00-033,LEPSA,N,6.0
AAAxb2AAEAAAARTABJ,00A117-00/00-033,NAASS,N,7.0
AAAxb2AAEAAAARTABK,00A117-00/00-033,NNNRA,N,7.0
AAAxb2AAEAAAARTABL,00A117-00/00-033,RAPSR,N,8.0
AAAxb2AAEAAAARTABM,00A117-00/00-033,LACSA,N,1.0
AAAxb2AAEAAAARTABN,00A117-00/00-034,DAUCS,N,1.0
AAAxb2AAEAAAARTABO,00A117-00/00-034,RAPSN,N,2.0
AAAxb2AAEAAAARTABP,00A117-00/00-034,RAPSR,N,3.0
AAAxb2AAEAAAARTABQ,00A152-00/00-001,SOLTU,N,1.0
AAAxb2AAEAAAARTABR,00A152-00/00-002,BRSNW,N,1.0
AAAxb2AAEAAAARTABS,00A152-00/00-003,BRSNS,N,1.0
AAAxb2AAEAAAARTABT,00A897-00/00-001,TRZAW,N,1.0
AAAxb2AAEAAAARTABU,00A897-00/00-002,HORVW,N,1.0
AAAxb2AAEAAAARTABV,00A897-00/00-003,TTLWI,N,1.0
AAAxb2AAEAAAARTABW,00A897-00/00-004,TRZAS,N,1.0
AAAxb2AAEAAAARTABX,00A897-00/00-005,HORVS,N,1.0
AAAxb2AAEAAAARTABY,00A897-00/00-006,TTLSO,N,1.0
AAAxb2AAEAAAARTABZ,024175-00/00-001,SECCE,N,1.0
AAAxb2AAEAAAARTABa,024175-00/00-002,TTLSS,N,1.0
AAAxb2AAEAAAARTABb,024175-00/00-003,TRZSS,N,1.0
AAAxb2AAEAAAARTABc,024175-00/00-004,TRZSS,N,1.0
AAAxb2AAEAAAARTABd,024175-00/00-005,TRZSS,N,1.0
AAAxb2AAEAAAARTABe,024175-00/00-006,TRZSS,N,1.0
AAAxb2AAEAAAARTABf,024175-00/00-007,SECCE,N,1.0
AAAxb2AAEAAAARTABg,024175-00/01-001,CIMRA,N,1.0
AAAxb2AAEAAAARTABh,024175-00/04-001,PIBST,N,1.0
AAAxb2AAEAAAARTABi,024175-00/04-003,LENCU,N,1.0
AAAxb2AAEAAAARTABj,024175-00/04-004,PHSVV,N,1.0
AAAxb2AAEAAAARTABk,024175-00/04-004,PHSVN,N,2.0
AAAxb2AAEAAAARTABl,024175-00/04-005,CIEAR,N,1.0
AAAxb2AAEAAAARTABm,024175-00/04-006,VICFJ,N,1.0
AAAxb2AAEAAAARTABn,024175-00/04-007,LUPLU,N,1.0
